point,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
13y3y,-0.0401973274795111,-0.01560148338080758,-0.02142531364492184,-0.06753453722270653,-0.004886105993622714,0.06410866836103546,0.012961986164074624,-0.05949323936295592,-0.019307434782086297
13y4y,-0.049473698566660396,-0.02952927207294387,-0.025012379071756907,-0.07803590030674057,-0.0105395645886599,0.06010970625792411,0.011192005288018336,-0.07077733576021306,-0.029256768384120058
13y5y,-0.056699718976011226,-0.04027074223558458,-0.02703172223614181,-0.08348708474135025,-0.014050942976697733,0.052910577661989366,0.010297775599445558,-0.07716552212606143,-0.03686135236875554
13y6y,-0.0625793544402855,-0.04931620010476845,-0.02793710558424789,-0.08558929783156843,-0.01631447129949315,0.04353856519271537,0.010031805477892064,-0.08044601317700284,-0.04318984165737927
13y7y,-0.0674142827591897,-0.05730448399516863,-0.027922923481657813,-0.08507093016053124,-0.01771335933996898,0.03243381134575696,0.010288013618538372,-0.08138491411114535,-0.048700254618573524
13y8y,-0.07124862750040961,-0.06426806741304825,-0.027265766193955265,-0.08266944554838629,-0.01855920851544912,0.02057973632456278,0.010751790524613725,-0.08053698831190159,-0.053378500783068716
13y9y,-0.07378623807656304,-0.06936219417490763,-0.026658604039749623,-0.07991797175611115,-0.019385846704536913,0.010816702377780096,0.01046233694871379,-0.07872708866451994,-0.05648605405749185
13y10y,-0.07504838320605955,-0.07261533742575565,-0.026182231764531272,-0.07703871891042935,-0.02028954266580385,0.003422217220127699,0.009331489066216392,-0.07612912999329824,-0.0580334249113279
13y11y,-0.07511865661643125,-0.07423413888993524,-0.02576997317114249,-0.07392704148931584,-0.02125258671410224,-0.0019296856993207268,0.007475259329106088,-0.07274057182516813,-0.05818715051658607
13y12y,-0.07405267687232708,-0.07435606806299555,-0.02537737168366383,-0.07051310125648058,-0.022263177045807936,-0.005456204304550294,0.004970981768984473,-0.06855966401295222,-0.057058163616666935
13y13y,-0.07212434893162811,-0.07333164089748534,-0.024979170841050058,-0.06693352958887511,-0.02325851823101477,-0.007477820212982822,0.002099764338540311,-0.0638940342102492,-0.05499528517498353
13y14y,-0.07025264347526061,-0.07219631997968357,-0.02457430157325602,-0.06385435443207355,-0.02402595066320279,-0.008746149088394661,-0.0002386275250980674,-0.05991220661336083,-0.05308343634403201
13y15y,-0.0686092199522923,-0.07116451580174088,-0.024150186762832204,-0.061369483147803994,-0.024526029771176905,-0.009449121512172809,-0.0018699095011243116,-0.05681237220819835,-0.0515379127384592
13y16y,-0.06714622202111276,-0.07020538515285946,-0.02369324490882696,-0.059410614528355055,-0.02477012636657383,-0.009599989838553258,-0.00283404971800838,-0.05451155474126956,-0.05031614294909437
13y17y,-0.06582705231286834,-0.06929533455145931,-0.023193086753171777,-0.05792553346247553,-0.024766922820728787,-0.00920887525779368,-0.0031616026122955887,-0.05294631147662354,-0.04938557728033244
14y1y,-0.040329460628421465,-0.014728133385433217,-0.021756155176310132,-0.06794490422773691,-0.0045899530503055175,0.06451578557586624,0.012760748156137147,-0.05951189325028272,-0.01873873575585172
14y2y,-0.05235834622030744,-0.033905305398341135,-0.027240739571609662,-0.08514801375646242,-0.013509232613389877,0.06463562307253734,0.009945583056113705,-0.07763363585269856,-0.03248310611683802
14y3y,-0.060673168089572904,-0.04637441631534944,-0.030085018165153965,-0.09327867235725362,-0.01817280186684922,0.05912802203122314,0.008591076257369323,-0.08663229888579238,-0.04135699380796254
14y4y,-0.06690582622053043,-0.05558996795804383,-0.031341037347291545,-0.09628195988787969,-0.020653715532348293,0.05037453234297962,0.008123521404311163,-0.09065379106170202,-0.04783766743279916
14y5y,-0.07192016732875839,-0.06338067225657174,-0.03156563434278503,-0.09624564056683704,-0.022049395008571615,0.039635326443650865,0.00823920809747758,-0.09189272653570235,-0.05323659156633642
14y6y,-0.07600411488606884,-0.07035625810340473,-0.030944333763344378,-0.09386482116141348,-0.02272561043761101,0.02733032008037828,0.008836883824963948,-0.09108032539909194,-0.05799094836957419
14y7y,-0.07915910428647965,-0.07645009999409247,-0.02976166682286885,-0.08986399717597893,-0.022976259338499005,0.01451187595120862,0.009574218830989523,-0.08872620858738989,-0.062010273450280984
14y8y,-0.08102510658639339,-0.08065823852855258,-0.028766621820774052,-0.08586927020622381,-0.023354095948342035,0.004286945307748535,0.009395780019805677,-0.0856664189496481,-0.06442729930060587
14y9y,-0.08162317134029706,-0.08301772610131275,-0.02800309509486354,-0.08200884499434258,-0.02391728598932552,-0.0032036207485299784,0.008257788698020185,-0.08200876150549785,-0.06526423966674244
14y10y,-0.0810429932782819,-0.08375816884435361,-0.02736752430910161,-0.07808898722272462,-0.02461386011010136,-0.008428130163058434,0.006323306024017761,-0.07769338436933548,-0.0647102563569848
14y11y,-0.07934153022454549,-0.0830253615827452,-0.0267939998556741,-0.07398633008386746,-0.025410751981418844,-0.01168447369023995,0.0036960898952571597,-0.07268213834290238,-0.06288562466249159
14y12y,-0.076811770509436,-0.08119312436013049,-0.026244563261841103,-0.0698190250416788,-0.026226740354091227,-0.013355535142234976,0.0006918453350870379,-0.06728416652914548,-0.0601652179301837
14y13y,-0.07443551681967087,-0.07936574156691067,-0.025711212325694177,-0.06628102906875455,-0.026824881271595657,-0.014269295859657527,-0.0017181213639512194,-0.06273526509258076,-0.057708616669528645
14y14y,-0.07237592923474878,-0.07774813554859916,-0.025175595689351127,-0.06344533307584532,-0.02716075670096929,-0.014627970115759448,-0.0033602453497749707,-0.05921236690996512,-0.055722328497450846
14y15y,-0.07056428415599214,-0.07628615487333468,-0.024619830449979174,-0.06121748321989662,-0.02724547794074006,-0.014443639756992699,-0.004289305857873238,-0.05659816196512191,-0.05414014633819564
14y16y,-0.06894903745755343,-0.07493917800181737,-0.024030500813273292,-0.059526655294178,-0.02708736469989237,-0.013725352395033363,-0.004546377299313065,-0.05480467804494493,-0.05291242010331576
15y1y,-0.06438723181219341,-0.05308247741122951,-0.03272532396689409,-0.10235112328516838,-0.022428512176483117,0.06475546056918158,0.007130417956120461,-0.09575537845511528,-0.04622747647782166
15y2y,-0.07084502182015129,-0.062197557780302226,-0.03424944965957177,-0.1059455564219971,-0.02496422627511663,0.056434140258897036,0.006506240307992961,-0.10019250170353278,-0.05266612283402328
15y3y,-0.07576461475123608,-0.06921057948224973,-0.034535998070942764,-0.10572764510792387,-0.02600830302636492,0.04566078126534423,0.006577779153702501,-0.10103442366550519,-0.057537311325113194
15y4y,-0.07981784400384573,-0.07554380697436214,-0.03401800413440226,-0.1033208246516093,-0.0264142554981337,0.03341521166059502,0.007108823082814908,-0.09998793485706159,-0.06186105551895826
15y5y,-0.08313904573759956,-0.0814818830470001,-0.032781969480748296,-0.09904880454814835,-0.02635274191507575,0.019893226981277934,0.008052110958729486,-0.09739401182884944,-0.06584139089231744
15y6y,-0.08563071156282209,-0.08673709442887034,-0.031095918763958785,-0.09351717933402126,-0.02604064371986725,0.006177891013766423,0.00904313061013351,-0.0935952611435713,-0.06922219639935001
15y7y,-0.08683877029467446,-0.09007682497756786,-0.029768117055697152,-0.08842989391743572,-0.026034687790919442,-0.004317174730555262,0.008915070286044546,-0.0894027797638417,-0.07095423694985525
15y8y,-0.08678488517928162,-0.09155392519079797,-0.02878396258468019,-0.08376683759016723,-0.026333202606703576,-0.011668546539080005,0.007694918765754011,-0.08482087003739913,-0.07107992765560489
15y9y,-0.0855667191282663,-0.09142817278423365,-0.02799100976829627,-0.07921610755550113,-0.02683873867230302,-0.016533009689602807,0.005608034676004792,-0.07971355004922831,-0.06981820309044595
15y10y,-0.08324273718415842,-0.08985508440247614,-0.02729778432360863,-0.07459047266948016,-0.02749283187453111,-0.019304499616850546,0.0027896240691713814,-0.0739991628521639,-0.06730031355315713
15y11y,-0.08012834413498382,-0.08723539626692167,-0.026652600360524525,-0.06998939966112783,-0.028193721018071827,-0.02043474611660745,-0.0004053276486448709,-0.06799073682722323,-0.0639312617642136
15y12y,-0.07727768816894365,-0.08475220891536761,-0.02604080042147472,-0.06614237280550528,-0.028677791956702947,-0.02083471931261882,-0.002924693823956659,-0.06300387941277252,-0.06095610674566965
15y13y,-0.07484104220446675,-0.08259582802268861,-0.025438629574968896,-0.06309921221800785,-0.028896972366405205,-0.020715951322808346,-0.004600321773306604,-0.059189326422246946,-0.05856722024680483
15y14y,-0.07272391440796255,-0.08068315640818469,-0.024824378683811377,-0.06073695314790761,-0.02886372971862672,-0.020083598709339734,-0.00550716685887398,-0.05639003830189404,-0.0566688185226476
15y15y,-0.07085700924616312,-0.07895324764290912,-0.024182123855737148,-0.05896543869860649,-0.028587192143197715,-0.018941428259759308,-0.005700185663008561,-0.054490863697921554,-0.05519066572648024
16y1y,-0.07730281182811627,-0.07131263814937672,-0.035773575352262776,-0.10953998955883959,-0.027499940373754583,0.04811281994860517,0.0058820626598565795,-0.10462962495195738,-0.059104769190213347
16y2y,-0.08145330622076141,-0.07727463051775452,-0.03544133512296854,-0.10741590601930273,-0.02779819845130227,0.03611344161341945,0.006301459752496186,-0.10367394627071524,-0.06319222874875674
16y3y,-0.08496138140106435,-0.08303091682872665,-0.03444889752357949,-0.10364405844042324,-0.027742836605351595,0.022968462024397063,0.007101624791708616,-0.10139878699104088,-0.06707224853267135
16y4y,-0.08782699921895176,-0.08858173445593831,-0.03279613085921129,-0.0982232248638999,-0.027333799349730015,0.008677668584300857,0.008282534209381964,-0.09780367017228553,-0.0707448694959365
