,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd,,,,point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
,,,,,,,,,,,,,,3y5y,3,8,4.344811698,3.673393716,1.68569861,2.857289537,3.925578947,0.92181292,4.406533248,2.961675089,3.53851967
,,,,,,,,,,,,,,3y6y,3,9,4.40355349,3.699729349,1.700104781,2.882009419,3.906418194,0.991140086,4.440697506,2.96620889,3.55537281
,,,,,,,,,,,,,,3y7y,3,10,4.445330723,3.718424528,1.716059956,2.912019124,3.902723338,1.056637624,4.47396792,2.98120803,3.572899784
,,,,,,,,,,,,,,3y8y,3,11,4.479545395,3.744418961,1.732178014,2.940813073,3.904099264,1.116841331,4.509330353,2.995424257,3.591878213
,,,,,,,,,,,,,,3y9y,3,12,4.508279277,3.777026933,1.747463768,2.965529779,3.907684317,1.171919782,4.546119774,3.005074374,3.611665532
,,,,,,,,,,,,,,3y10y,3,13,4.530979064,3.812554856,1.76116804,2.984866956,3.912506515,1.222779467,4.58355781,3.010328856,3.630771705
,,,,,,,,,,,,,,3y11y,3,14,4.54701317,3.847259811,1.772517533,2.997251555,3.91723901,1.270224863,4.620584107,3.010914699,3.647476995
,,,,,,,,,,,,,,3y12y,3,15,4.555704237,3.877371145,1.780724899,3.000952352,3.920347929,1.315000671,4.655974036,3.00630013,3.659927755
,,,,,,,,,,,,,,3y13y,3,16,4.556613621,3.899875487,1.785258508,2.994861389,3.920605127,1.357525683,4.688751085,2.996126474,3.66664534
,,,,,,,,,,,,,,3y14y,3,17,4.550323829,3.914760903,1.78661032,2.98061479,3.918386939,1.397070551,4.719232605,2.981226816,3.667878719
,,,,,,,,,,,,,,3y15y,3,18,4.537606188,3.922590752,1.785467655,2.960350207,3.914341912,1.432673375,4.747955529,2.962616605,3.664186149
,,,,,,,,,,,,,,3y16y,3,19,4.519171974,3.923773604,1.782464181,2.936037814,3.908997838,1.463417897,4.775359573,2.941200386,3.656013319
,,,,,,,,,,,,,,3y17y,3,20,4.49569009,3.918608659,1.778195719,2.909529966,3.902797287,1.488420004,4.801815819,2.917804476,3.643726442
,,,,,,,,,,,,,,3y18y,3,21,4.467915511,3.907497682,1.773160872,2.882364673,3.896063763,1.507145817,4.827531751,2.893177305,3.627760205
,,,,,,,,,,,,,,3y19y,3,22,4.437040362,3.891499884,1.767562653,2.855112894,3.88884875,1.520366942,4.852229124,2.867941272,3.609002982
,,,,,,,,,,,,,,3y20y,3,23,4.404339855,3.871786365,1.761529219,2.828102232,3.881120474,1.529146516,4.875504922,2.842669304,3.588419193
,,,,,,,,,,,,,,3y21y,3,24,4.37106218,3.849472807,1.75518592,2.801652934,3.872828326,1.534516051,4.896949517,2.817913296,3.566933647
,,,,,,,,,,,,,,3y22y,3,25,4.338434759,3.825632249,1.748655941,2.776079595,3.863907134,1.537482694,4.916148175,2.794208912,3.545440605
,,,,,,,,,,,,,,3y23y,3,26,4.307408172,3.80114985,1.7420441,2.751598708,3.854312988,1.538930095,4.932843764,2.771934835,3.524635223
,,,,,,,,,,,,,,3y24y,3,27,4.277887469,3.77627174,1.735387799,2.728052032,3.844122366,1.539313009,4.947416109,2.750888006,3.504499507
,,,,,,,,,,,,,,3y25y,3,28,4.249531376,3.751082867,1.728708282,2.705193574,3.833434112,1.538979762,4.960388579,2.730726644,3.48484167
,,,,,,,,,,,,,,3y26y,3,29,4.22201248,3.725664256,1.722027354,2.682782941,3.822338463,1.538278051,4.972268512,2.711114728,3.465472628
,,,,,,,,,,,,,,3y27y,3,30,4.195014655,3.700093743,1.715367282,2.660584289,3.810918648,1.537555067,4.983550192,2.691720922,3.446205491
,,,,,,,,,,,,,,4y1y,4,5,4.165046298,3.515807675,1.623212615,2.79577936,4.002605671,0.732745974,4.251270082,2.909787746,3.499858787
